Unit,Unit Name
U24221,Henry D Lloyd School
U24231,Josephine C Locke School
U24251,James Russell Lowell Elementary School
U24281,Mary Lyon School
U24301,James Madison School
U24311,George Manierre School
U24331,Horace Mann School
U24341,Marquette Elementary School
U24361,John L Marsh School
U24371,Michael Faraday Elementary School
U24381,Roswell B Mason Elementary School
U24421,George B McClellan Elementary School
U24431,Cyrus H Mccormick School
U24451,Francis M Mckay School
U24471,James B Mcpherson Elementary School
U24511,Ellen Mitchell School
U24571,Donald L Morrill Mathematics & Science Specialty School
U24591,Mount Greenwood Elementary School
U24611,Wolfgang A Mozart School
U24621,John B Murphy School
U24631,Ronald H Brown Community Academy
U24641,Henry H Nash School
U24661,Louis Nettelhorst School
U24671,Florence Nightingale School
U24681,William P Nixon School
U24691,Alfred Nobel Elementary School
U24711,Norwood Park Elementary School
U24721,West Park Academy
U24741,Richard J Oglesby School
U24751,Isabell C O'Keeffe School
U24761,William J Onahan School
U24781,Brian Piccolo Elementary School
U24791,James Otis School
U24801,Luke O'Toole School
U24821,John M Palmer School
U24841,Park Manor Elementary School
U24851,Louis Pasteur School
U24871,Ferdinand W Peck School
U24881,Washington Irving School
U24891,Helen C Peirce School Of International Studies
U24921,Harold Washington School
U24931,Irma C Ruiz School
U24941,Mary G Peterson School
U24951,Marcus Moziah Garvey School
U24961,Josiah L Pickard School
U24971,John T Pirie Fine Arts & Academic Center
U25011,Portage Park Elementary School
U25031,Prussing Elementary School
U25111,Peter A Reinberg Elementary School
U25121,Paul Revere Accelerated School
U25141,Philip Rogers School
U25151,Cesar E Chavez Multicultural Academic Center
U25181,Martha M Ruggles Elementary School
U25211,Sauganash Elementary School
U25231,Sidney Sawyer School
U25241,Jonathan Y Scammon School
U25351,Jesse Sherwood School
U25361,James Shields Elementary School
U25371,Beulah Shoesmith School
U25381,John D Shoop Elementary School
U25391,Theophilus Schmid School
U25401,Washington D Smyser School
U25411,John M Smyth Elementary School
U25431,Hannah G Solomon School
U25441,Herbert Spencer Math & Science Academy
U25451,John Spry Community School
U25541,William K Sullivan Specialty School
U25581,Mancel Talcott School
U25601,James N Thorp Elementary School
U25621,George W Tilton School
U25631,Enrico Tonti School
U25661,Mark Twain School
U25671,Lavizzo Elementray School
U25681,Alessandro Volta School
U25711,James Wadsworth School
U25751,James Ward Elementary School
U25761,Joseph Warren Elementary School
U25771,George Washington School
U25781,Thomas J Waters School
U25791,Daniel Webster School
U25811,Daniel S Wentworth School
U25831,John Whistler Elementary School
U25841,Eli Whitney School
U25861,John Greenleaf Whittier School
U25871,A N Pritzker School
U25881,Wildwood School
